sku,status,source_url,image_source,note,source_width,source_height,source_mime,source_sha256,processed_path,processed_sha256
IRIB-NEKTAR-YABLOCHNYY-750-GLASS,exact_low_res,https://irib.su/wp-content/uploads/2021/04/yablochnyi-nektar-075-PhotoRoom-1.png,wp_attachment_volume_filename,no source upscale; catalog canvas only,127,366,image/png,2389346f50c52f11ddd4b6b2840e2cb35705eb2c44e32d8eb70cf98dc8607157,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-NEKTAR-YABLOCHNYY-750-GLASS.webp,0ac7e4e11949411499d81519bc3831745943cdc9aa45f0de282f9f83bff883ed
IRIB-PROFI-SPORT-BCAA-APELSIN-500-PET,exact_low_res,https://irib.su/wp-content/uploads/2021/01/profi-zheltyi-PhotoRoom-2.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,95,366,image/png,f9b9fdd4fb6e0a0ff43ed096769f3bf34f065c667f76e13cb1be5b959163bf8c,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-PROFI-SPORT-BCAA-APELSIN-500-PET.webp,8bac6514a16bbad175be64581a1fc284b699199d7ac719d5b7b40502b1e91a54
IRIB-PROFI-SPORT-BCAA-CHERNIKA-UNKNOWN-PET,exact_low_res,https://irib.su/wp-content/uploads/2024/02/chernika-bcaa-min.webp,stage1_featured_or_assigned,no source upscale; catalog canvas only,92,360,image/webp,f440377e2ae5bfba3733207738b6ac804860f4e9485574027e14b5971d47a306,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-PROFI-SPORT-BCAA-CHERNIKA-UNKNOWN-PET.webp,c4bf6da1528f27de6bf8514008e4dd3638ce32e887d29d956b0e42d42f9d0eae
IRIB-PROFI-SPORT-ENERGY-GUARANA-500-PET,exact_low_res,https://irib.su/wp-content/uploads/2021/01/profi-enerdzhi-PhotoRoom-2.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,94,366,image/png,f9e13c414b1c8610a514c98144927ac9ce11851e83389a5eda5ee528b4a00884,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-PROFI-SPORT-ENERGY-GUARANA-500-PET.webp,cabf6518b14cd497029ccaabaa30cafcf8f9455b1a1cfbafdb2dd4ffd7fc02c7
IRIB-PROFI-SPORT-ENERGY-GUARANA-UNKNOWN-PET,exact_low_res,https://irib.su/wp-content/uploads/2025/02/guarana-kon-1.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,92,360,image/png,fb96247f9f3ce45fd3deacb5bc83539e538e8c707bd6bd9b7f800a2ced4fdd6b,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-PROFI-SPORT-ENERGY-GUARANA-UNKNOWN-PET.webp,0edc69b671b16ec94ea19136508457833f6356ee81062b0d79438c58189d7d16
IRIB-PROFI-SPORT-ISOTONIC-GUAVA-500-PET,exact_low_res,https://irib.su/wp-content/uploads/2021/01/profi-goluboi-PhotoRoom-2.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,96,366,image/png,f22d1bb05cc8589584a4d486c256497c61d66d7cd72bc955c2be87b433225688,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-PROFI-SPORT-ISOTONIC-GUAVA-500-PET.webp,f4fdf207c4f28ca888db5609ca079f5d3cd0d92f900dd586a5cd70c94170f8e4
IRIB-PROFI-SPORT-L-CARNITINE-UNKNOWN-PET,exact_low_res,https://irib.su/wp-content/uploads/2021/01/profi-krasnaya-PhotoRoom-2.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,96,366,image/png,1a1392d09d3e2853d4469fdd23b794955fa6e472e024ca069d1f84a0ce732fee,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-PROFI-SPORT-L-CARNITINE-UNKNOWN-PET.webp,0dcd9b4c94223934607fe760b65a6d8a69a0b21e7ba6d6476071a39320db125e
IRIB-RODNICHOK-NEGAZIROVANNAYA-330-PET,exact_low_res,https://irib.su/wp-content/uploads/2020/04/image-31.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,94,311,image/png,6d3de1750b21588f029743b4ec18528083421875b052585f81258a64679405ae,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-RODNICHOK-NEGAZIROVANNAYA-330-PET.webp,ec40a924ba8e87076bac0c2d48338766b947a848198bece3c70d35351d73dbbb
IRIB-RODNIKOVAYA-SVEZHEST-NEGAZIROVANNAYA-19000-PET,exact_low_res,https://irib.su/wp-content/uploads/2021/05/19l-366.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,206,366,image/png,60e3ddcc2160109f6e76fbee586b92a21ea6cc76231c7326b7e45099701dd1b0,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-RODNIKOVAYA-SVEZHEST-NEGAZIROVANNAYA-19000-PET.webp,f6418342308b0811b43ac742a2a2c6679500ce11bd74e58b9ed47c3723699802
IRIB-SELESTA-ANANAS-500-GLASS,exact_low_res,https://irib.su/wp-content/uploads/2020/04/selesta-ananas366.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,111,366,image/png,0ace0a745c151ebf7913321a49b9936fc019cf7072a84bda7a911304f674f55f,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-SELESTA-ANANAS-500-GLASS.webp,422024502f4039d7806f4a7287cdb1eddcea39b65e763a93427905a6b5aed2bb
IRIB-SELESTA-GRANAT-500-GLASS,exact_low_res,https://irib.su/wp-content/uploads/2020/04/selesta-granat366.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,111,366,image/png,a60edf6d3e2054c115ecae394a559bc99c3389799ca816928b43fad2ff3ddce0,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-SELESTA-GRANAT-500-GLASS.webp,666d47ed89c2605cca81f420139c6b52cb6c8dcd3e7d06ccc1ff3fab8f9a3b63
IRIB-SELESTA-GRUSHA-500-GLASS,exact_low_res,https://irib.su/wp-content/uploads/2020/04/selesta-grusha366.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,111,366,image/png,2949bce6566021f2b1e327b0cc68572d1117eb0bbb5142f136eecd1471b52759,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-SELESTA-GRUSHA-500-GLASS.webp,55b73ab9b45a2bfd73e9831424115aa940a43595465f43e7130602d833987a11
IRIB-SELESTA-MOHITO-500-GLASS,exact_low_res,https://irib.su/wp-content/uploads/2020/04/selesta-mohito366.png,stage1_featured_or_assigned,no source upscale; catalog canvas only,111,366,image/png,d66f3b14b7fd35d26021d91629fe1a455561621be8ee188f871d4da1fc5146ba,artifacts/irib-import/2026-08-05T14-12-48-411Z-final/processed/IRIB-SELESTA-MOHITO-500-GLASS.webp,11ce895fad4d0324d7f5ad5908e13f7dcd53622ea3c4d78313d9c5bb918ee35f
